% Device,CC1349003
% File name,CC1349003_20170828_182816
% Cast time (UTC),2017-08-28 18:28:16
% Cast time (local),2017-08-28 18:28:16
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,44.1586803
% Start longitude,-66.4288777
% Start altitude,-19.979999542236328
% Start GPS horizontal error(Meter),1.5199999809265137
% Start GPS vertical error(Meter),2.7200000286102295
% Start GPS number of satellites,8
% End latitude,44.1595299
% End longitude,-66.4293573
% End altitude,-14.890000343322754
% End GPS horizontal error(Meter),2.0399999618530273
% End GPS vertical error(Meter),3.8399999141693115
% End GPS number of satellites,9
% Cast duration (Seconds),171.6
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2013-12-11
% Temperature calibration date,2013-12-11
% Pressure calibration date,2013-12-11
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
14.85,14.783535543259346,11.564124124458118,36707.997901418246,50196.741724853578,32.176184284698557,1492.1886486833607,1024.5442332921477
15.149999999999999,15.082162662511507,11.556211564361776,36696.616686800742,50192.0400342795,32.171837323835049,1492.1608528509942,1024.5436463797716
15.45,15.380788730023125,11.551548957824707,36700.50390625,50203.760104116467,32.179554002187224,1492.1588202557412,1024.5518396861939
15.749999999999998,15.679414149552017,11.553717515249982,36696.862184803816,50195.80042644652,32.173994573176614,1492.1646433397368,1024.5484822638946
16.05,15.978040423011267,11.552559818619802,36691.1040209527,50189.513679781085,32.169261331183272,1492.1598828745209,1024.5463698120368
16.35,16.276665245075385,11.545066859659503,36697.426208036821,50208.454056141709,32.181812268421304,1492.1537939712405,1024.5588310987102
16.650000000000002,16.575288678462165,11.537510707892507,36683.869983120225,50200.286325466754,32.17503199739059,1492.1243076005155,1024.5562882392985
16.95,16.873911601494186,11.532818794250488,36685.400390625,50208.828118675752,32.180478076762675,1492.1194447550722,1024.562722720596
17.25,17.17253279494853,11.52392505743445,36681.375425049126,50215.544149988105,32.184157744269335,1492.0978326152717,1024.5685461158303
17.55,17.471151968313929,11.522110462188721,36688.78515625,50228.183273025585,32.192841632124704,1492.1068671029932,1024.5769742725022
17.85,17.769770773131381,11.52328328077753,36681.182966962529,50216.163049979827,32.184279026363981,1492.1056256148627,1024.5714647140583
18.150000000000002,18.068389857454946,11.519488126949049,36680.48813802821,50220.4302679702,32.186776245096873,1492.100345251054,1024.5754458729889
18.45,18.367008768560229,11.518205482165477,36674.210337189223,50213.598742002716,32.181640586877741,1492.0946617312659,1024.5730429557566
18.75,18.665627988758267,11.514598013055164,36669.362179235744,50211.92095025289,32.179920994871182,1492.0849770068041,1024.5737144507307
19.05,18.964245580961745,11.50114631652832,36666.87109375,50227.01311321096,32.189062474399371,1492.0540215273541,1024.5846041288046
19.35,19.262860556982041,11.489335224628109,36661.699213613334,50236.18406299287,32.194163081578566,1492.0239237819828,1024.5920568765237
19.650000000000002,19.561473673671493,11.478343637369051,36655.137393469711,50242.327006206979,32.197194583529615,1491.9941898411448,1024.5977530770015
19.95,19.860085494854207,11.472630390867705,36651.751983006514,50245.556174889512,32.198735491245678,1491.9810616084865,1024.601336774808
20.25,20.158695724265403,11.468766000439292,36655.915409303663,50256.588622798641,32.206043027455991,1491.9812950330077,1024.609066207858
20.55,20.457304859527888,11.467696189880371,36653.2734375,50254.440596759065,32.204268311732633,1491.980376780645,1024.60923499941
20.85,20.755914643089362,11.462658131311869,36640.3601057278,50243.676659249555,32.195911287199387,1491.9577239402913,1024.6050068438535
21.150000000000002,21.054524171612904,11.464011504490166,36648.61956562761,50253.1373449061,32.202679553099316,1491.9755041102594,1024.6113748324499
21.45,21.353131982621797,11.458102300841453,36647.942709246483,50260.35420993463,32.207038993551393,1491.9650671022989,1024.6171830579963
21.75,21.651738798319922,11.45439477091073,36643.96098009713,50260.004603529545,32.206251425982572,1491.9561318160884,1024.6185949081214
22.05,21.950345868306169,11.452597847256115,36636.63270958564,50252.43037972309,32.200528611142,1491.9479386222574,1024.6158275780233
22.35,22.248952142575686,11.439694064814098,36631.76176283606,50263.54186410064,32.206880457241823,1491.9154824333937,1024.6244453125369
22.650000000000002,22.547555175467089,11.429092862560657,36636.592458083709,50284.799289822986,32.220717344180315,1491.9000324720257,1024.6384621366512
22.95,22.8461554440331,11.416642631151504,36627.921127829191,50290.085083923906,32.22296357532953,1491.8642096811871,1024.6438062093243
23.25,23.144754501141822,11.4116616850554,36625.067251369328,50293.045629391752,32.224389375395845,1491.8534712035523,1024.6471660040847
23.55,23.443352802337049,11.40608903474544,36620.043966403537,50293.844982159309,32.224208346946583,1491.8387356478395,1024.6493837125368
23.85,23.74195020280148,11.401191711425781,36618.591796875,50298.61671449204,32.226933239974315,1491.8298441314828,1024.6537374446325
24.150000000000002,24.040545684227844,11.39952752803482,36627.16707305696,50312.695741513147,32.236653214738766,1491.8406404128866,1024.6629440585355
24.45,24.339140385423971,11.394974872834794,36615.826418518962,50303.409394368078,32.229399242235232,1491.8209715249873,1024.6594819391444
24.75,24.637734971347577,11.391946195122838,36616.861372837513,50309.017792712635,32.232929618113459,1491.8195705903308,1024.6641248334347
25.05,24.936327624921205,11.382296404350342,36616.167063962675,50321.407226488824,32.240545559921941,1491.7999412826887,1024.6731339080047
25.35,25.23491795946925,11.367614503724763,36607.546464113679,50329.87035809613,32.2447942784759,1491.7586744872133,1024.6804308668595
25.650000000000002,25.533505621709853,11.356419563293457,36608.291015625,50346.391992606776,32.255175573757604,1491.7369464266212,1024.6918650249988
25.95,25.832092086117587,11.350622892379761,36596.3974609375,50338.061013817271,32.24845903940863,1491.7135526618163,1024.6890419041547
26.25,26.13067919998285,11.350954265823884,36593.485076303186,50333.5962086521,32.245190431015381,1491.7157263342306,1024.6877970178346
26.55,26.429265288232738,11.343583972719902,36594.915855733117,50345.772011920824,32.252905501765078,1491.7041580152124,1024.6964710278146
26.85,26.727850280768305,11.33476699500882,36582.32599861901,50340.664085783457,32.248142199590596,1491.6725371685493,1024.6957072594992
27.150000000000002,27.026434261256902,11.333392194294316,36589.757890417546,50352.79625798812,32.256504210447851,1491.6827122557813,1024.7038071224761
27.45,27.325016187635,11.31986525099094,36581.24870173441,50359.835380634206,32.259858185173663,1491.6443529826581,1024.710195915887
27.75,27.623596173991583,11.312106440528812,36580.456276932076,50369.504640060972,32.265739211790518,1491.6292047885804,1024.7175128955676
